alias,tech,experiment,run
mada_117,nanopore,ERX8573830,ERR9030420
mada_1-28,nanopore,ERX8573736,ERR9030326
mada_109,illumina,ERX8573747,ERR9030337
mada_105,illumina,ERX8573856,ERR9030446
R21408,nanopore,ERX8573850,ERR9030440
R28012,nanopore,ERX8573908,ERR9030498
18_0622363,nanopore,ERX8573903,ERR9030493
mada_136,nanopore,ERX8573848,ERR9030438
R20983,nanopore,ERX8573799,ERR9030389
mada_1-6,illumina,ERX8573790,ERR9030380
R15311,nanopore,ERX8573881,ERR9030471
mada_1-5,illumina,ERX8573900,ERR9030490
mada_132,pacbio,ERX8573913,ERR9030503
mada_124,nanopore,ERX8573950,ERR9030540
mada_103,nanopore,ERX8573887,ERR9030477
R18040,illumina,ERX8573769,ERR9030359
mada_2-31,illumina,ERX8573820,ERR9030410
mada_1-54,nanopore,ERX8573777,ERR9030367
R27657,nanopore,ERX8573764,ERR9030354
mada_1-16,illumina,ERX8573910,ERR9030500
mada_1-32,illumina,ERX8573684,ERR9030274
mada_123,nanopore,ERX8573659,ERR9030249
mada_131,nanopore,ERX8573729,ERR9030319
mada_113,illumina,ERX8573853,ERR9030443
R24100,illumina,ERX8573815,ERR9030405
R32929,nanopore,ERX8573663,ERR9030253
mada_136,illumina,ERX8573795,ERR9030385
mada_126,illumina,ERX8573806,ERR9030396
mada_1-18,illumina,ERX8573812,ERR9030402
18_0622456,nanopore,ERX8573889,ERR9030479
mada_2-25,nanopore,ERX8573735,ERR9030325
mada_150,illumina,ERX8573941,ERR9030531
18_0622446,nanopore,ERX8573833,ERR9030423
mada_1-48,nanopore,ERX8573840,ERR9030430
mada_127,nanopore,ERX8573838,ERR9030428
mada_151,nanopore,ERX8573751,ERR9030341
mada_154,illumina,ERX8573874,ERR9030464
mada_1-32,nanopore,ERX8573807,ERR9030397
mada_1-5,nanopore,ERX8573847,ERR9030437
mada_128,nanopore,ERX8573917,ERR9030507
R32929,illumina,ERX8573741,ERR9030331
mada_134,nanopore,ERX8573774,ERR9030364
R30396,nanopore,ERX8573818,ERR9030408
R36431,nanopore,ERX8573737,ERR9030327
mada_1-43,illumina,ERX8573766,ERR9030356
R29816,nanopore,ERX8573756,ERR9030346
mada_131,illumina,ERX8573703,ERR9030293
R31095,nanopore,ERX8573898,ERR9030488
mada_116,pacbio,ERX8573791,ERR9030381
mada_151,illumina,ERX8573868,ERR9030458
mada_106,illumina,ERX8573710,ERR9030300
mada_143,illumina,ERX8573902,ERR9030492
mada_111,illumina,ERX8573767,ERR9030357
mada_2-53,nanopore,ERX8573876,ERR9030466
mada_132,illumina,ERX8573949,ERR9030539
mada_121,nanopore,ERX8573843,ERR9030433
mada_140,nanopore,ERX8573725,ERR9030315
mada_137,illumina,ERX8573865,ERR9030455
mada_2-46,nanopore,ERX8573759,ERR9030349
mada_1-36,nanopore,ERX8573675,ERR9030265
R30215,nanopore,ERX8573916,ERR9030506
R22601,illumina,ERX8573716,ERR9030306
mada_1-7,illumina,ERX8573758,ERR9030348
mada_2-31,nanopore,ERX8573739,ERR9030329
mada_148,nanopore,ERX8573946,ERR9030536
R21893,nanopore,ERX8573834,ERR9030424
mada_1-53,illumina,ERX8573860,ERR9030450
mada_1-40,nanopore,ERX8573781,ERR9030371
mada_111,nanopore,ERX8573832,ERR9030422
mada_1-28,illumina,ERX8573661,ERR9030251
mada_142,nanopore,ERX8573849,ERR9030439
mada_1-19,illumina,ERX8573866,ERR9030456
mada_1-38,illumina,ERX8573797,ERR9030387
mada_112,illumina,ERX8573912,ERR9030502
mada_1-51,nanopore,ERX8573765,ERR9030355
mada_1-54,illumina,ERX8573944,ERR9030534
R20260,illumina,ERX8573680,ERR9030270
mada_122,illumina,ERX8573811,ERR9030401
R20574,nanopore,ERX8573940,ERR9030530
mada_1-10,nanopore,ERX8573885,ERR9030475
mada_1-25,nanopore,ERX8573752,ERR9030342
mada_1-15,nanopore,ERX8573822,ERR9030412
mada_148,illumina,ERX8573701,ERR9030291
R18040,nanopore,ERX8573877,ERR9030467
18_0622434,nanopore,ERX8573778,ERR9030368
mada_135,illumina,ERX8573896,ERR9030486
mada_2-25,illumina,ERX8573893,ERR9030483
R30420,nanopore,ERX8573697,ERR9030287
R27725,illumina,ERX8573869,ERR9030459
18_0622431,nanopore,ERX8573793,ERR9030383
mada_113,nanopore,ERX8573911,ERR9030501
18_0622465,nanopore,ERX8573953,ERR9030543
mada_1-3,nanopore,ERX8573879,ERR9030469
mada_1-36,illumina,ERX8573852,ERR9030442
mada_132,nanopore,ERX8573668,ERR9030258
mada_1-12,nanopore,ERX8573786,ERR9030376
R20896,nanopore,ERX8573788,ERR9030378
mada_1-2,illumina,ERX8573938,ERR9030528
mada_152,nanopore,ERX8573845,ERR9030435
R31095,illumina,ERX8573768,ERR9030358
R21839,nanopore,ERX8573943,ERR9030533
mada_152,illumina,ERX8573802,ERR9030392
R27725,nanopore,ERX8573919,ERR9030509
mada_2-46,illumina,ERX8573718,ERR9030308
R37765,nanopore,ERX8573864,ERR9030454
R30078,nanopore,ERX8573796,ERR9030386
mada_122,nanopore,ERX8573859,ERR9030449
mada_1-11,illumina,ERX8573666,ERR9030256
mada_143,nanopore,ERX8573835,ERR9030425
18_0622365,nanopore,ERX8573744,ERR9030334
mada_120,nanopore,ERX8573937,ERR9030527
mada_121,illumina,ERX8573935,ERR9030525
18_0622267,nanopore,ERX8573732,ERR9030322
mada_125,illumina,ERX8573867,ERR9030457
mada_1-10,illumina,ERX8573901,ERR9030491
R21770,nanopore,ERX8573760,ERR9030350
mada_2-34,nanopore,ERX8573947,ERR9030537
mada_1-47,illumina,ERX8573870,ERR9030460
