run,sample,barcode,excluded,barcode_kit
md_tb_reseq_2019_2,mada_143,10,0,EXP-NBD104
md_tb_reseq_2019_2,mada_144,11,0,EXP-NBD104
md_tb_reseq_2019_2,mada_148,12,0,EXP-NBD104
md_tb_reseq_2019_3,mada_109,6,0,EXP-NBD104
md_tb_reseq_2019_3,mada_113,7,0,EXP-NBD104
md_tb_reseq_2019_3,mada_136,1,0,EXP-NBD104
md_tb_reseq_2019_3,mada_152,2,0,EXP-NBD104
md_tb_reseq_2019_3,mada_154,3,0,EXP-NBD104
md_tb_reseq_2019_3,mada_1-3,5,1,EXP-NBD104
md_tb_reseq_2019_3,mada_1-6,4,0,EXP-NBD104
md_tb_reseq_2019_4,mada_127,12,0,EXP-NBD104
md_tb_reseq_2019_4,mada_1-22,6,0,EXP-NBD104
md_tb_reseq_2019_4,mada_1-48,11,0,EXP-NBD104
md_tb_reseq_2019_4,mada_1-5,8,0,EXP-NBD104
md_tb_reseq_2019_4,mada_1-8,9,0,EXP-NBD104
md_tb_reseq_2019_4,mada_2-34,10,0,EXP-NBD104
md_tb_reseq_2019_4,mada_2-50,7,0,EXP-NBD104
md_tb_reseq_2019_5,mada_150,8,0,EXP-NBD104
md_tb_reseq_2019_5,mada_1-13,5,0,EXP-NBD104
md_tb_reseq_2019_5,mada_1-17,4,0,EXP-NBD104
md_tb_reseq_2019_5,mada_1-33,6,0,EXP-NBD104
md_tb_reseq_2019_5,mada_1-43,7,0,EXP-NBD104
