#guid,samplename,fastq1,fastq1_md5,fastq2,fastq2_md5
dfd05bff-7e7c-491f-9c60-cb917ceacc52,site.07.iso.1.subject.dfd05bff-7e7c-491f-9c60-cb917ceacc52.lab_id.dfd05bff-7e7c-491f-9c60-cb917ceacc52.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/40/62/24062/Reads/reads.original.1.1.fq.gz,5019a5da2773e872dd1fcc417a71c112,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/40/62/24062/Reads/reads.original.1.2.fq.gz,de8dc15672fde10697a2e95e77b0ad8f
e230a60d-a2c1-44e2-a32e-19e1eb9fe6e1,site.07.iso.1.subject.e230a60d-a2c1-44e2-a32e-19e1eb9fe6e1.lab_id.e230a60d-a2c1-44e2-a32e-19e1eb9fe6e1.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/41/37/24137/Reads/reads.original.1.1.fq.gz,6712d041e1fb94097439f587232b3502,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/41/37/24137/Reads/reads.original.1.2.fq.gz,e0678f32c2cd624af30cccefa01e6b2a
eab1991f-fff5-47ef-add1-32d51c6a26c4,site.07.iso.1.subject.eab1991f-fff5-47ef-add1-32d51c6a26c4.lab_id.eab1991f-fff5-47ef-add1-32d51c6a26c4.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/43/98/24398/Reads/reads.original.1.1.fq.gz,38485a27e24c8ccc1b95664c4137b992,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/43/98/24398/Reads/reads.original.1.2.fq.gz,c03f0c1c0aabe309ba5814f4d49d57a4
f766e0fc-a8ef-4890-a859-7d86f3254a8e,site.07.iso.1.subject.f766e0fc-a8ef-4890-a859-7d86f3254a8e.lab_id.f766e0fc-a8ef-4890-a859-7d86f3254a8e.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/48/49/24849/Reads/reads.original.1.1.fq.gz,123f1a83a8ae00732e4b43b6094c565b,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/48/49/24849/Reads/reads.original.1.2.fq.gz,0e51fefa099972ba720f82441ed0884a
ffed3a4c-cade-4e51-a5e0-e62c5c504a14,site.07.iso.1.subject.ffed3a4c-cade-4e51-a5e0-e62c5c504a14.lab_id.ffed3a4c-cade-4e51-a5e0-e62c5c504a14.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/50/99/25099/Reads/reads.original.1.1.fq.gz,12303296f85adee5e374178d4f172b91,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/50/99/25099/Reads/reads.original.1.2.fq.gz,9d80f5178e941f0ebd4081786675a888
cannot find: 5b2eadf1-4c3a-4bdf-829e-593962e2c908
cannot find: 7ab6b468-3beb-4e61-bacf-c08b2af83172
cannot find: 87f4b663-6aca-431a-acf5-fafcba83fa79
cannot find: 3149341b-b72c-423d-9d5c-2077444f0107
cannot find: b6cb5460-01f7-47d3-88ab-d33727ac10b0
cannot find: eeb85dfc-a0dc-459b-ab39-bea587651e38
duplicate: 87f4b663-6aca-431a-acf5-fafcba83fa79
duplicate: b6cb5460-01f7-47d3-88ab-d33727ac10b0
