sample,site,matched,pacbio,excluded,failed_qc,run,barcode,barcode_kit,collection_date,lineage,illumina_run_accession,nanopore_run_accession,pacbio_run_accession,sample_accession,biosample_accession,assembly_accession
mada_142,madagascar,1,0,0,0,md_tb_reseq_2019_1,3,EXP-NBD104,26/4/2017,2.2.7,ERR9030395,ERR9030439,,ERS10792279,SAMEA13188742,
mada_148,madagascar,1,0,0,0,md_tb_reseq_2019_2,12,EXP-NBD104,27/2/2017,4.6.2.2,ERR9030291,ERR9030536,,ERS10792280,SAMEA13188743,
mada_1-54,madagascar,1,0,0,0,madagascar_tb_mdr_4,4,EXP-NBD103,22/4/2015,1.1.2,ERR9030534,ERR9030367,,ERS10792281,SAMEA13188744,
mada_106,madagascar,1,0,0,0,madagscar_tb_aug_5,1,EXP-NBD103,13/2/2014,4.3.4.2.1,ERR9030300,ERR9030311,,ERS10792282,SAMEA13188745,
mada_1-32,madagascar,1,0,0,0,madagascar_tb_mdr_1,6,EXP-NBD103,13/10/2015,4.1.1.3,ERR9030274,ERR9030397,,ERS10792283,SAMEA13188746,
mada_2-53,madagascar,1,0,0,0,madagascar_tb_mdr_4,5,EXP-NBD103,23/3/2015,4.1,ERR9030413,ERR9030466,,ERS10792284,SAMEA13188747,
mada_152,madagascar,1,0,0,0,md_tb_reseq_2019_3,2,EXP-NBD104,4/6/2016,4.1,ERR9030392,ERR9030435,,ERS10792285,SAMEA13188748,
R26791,south_africa,1,0,0,0,FAK48818,23,EXP-NBD114,17/9/2014,2.2.1,ERR6362503;ERR6362506,ERR9030414,,ERS10792286,SAMEA13188749,
R21363,south_africa,1,0,0,0,FAK48888,2,EXP-NBD103,29/5/2013,4.1.1.3,ERR5987445,ERR9030360,,ERS10792287,SAMEA13188750,
R30234,south_africa,1,0,0,0,FAK48914,6,EXP-NBD103,14/10/2015,2.2,ERR9030526,ERR9030336,,ERS10792288,SAMEA13188751,
R36431,south_africa,1,0,0,0,FAK48856,4,EXP-NBD103,10/3/2017,2.2,ERR9030393,ERR9030327,,ERS10792289,SAMEA13188752,
R27252,south_africa,1,0,0,0,FAK48818,22,EXP-NBD114,24/2/2015,1.2.2,SRR12882607,ERR9030426,,ERS10792290,SAMEA13188753,
R29816,south_africa,1,0,0,0,FAK48856,8,EXP-NBD103,25/8/2015,2.2,ERR6362581;ERR6362582,ERR9030346,,ERS10792291,SAMEA13188754,
R29598,south_africa,1,0,0,0,FAK49586,11,EXP-NBD103,13/8/2015,2.2.6_RD150,ERR5987292,ERR9030520,,ERS10792292,SAMEA13188755,
R30078,south_africa,1,0,0,0,FAK48914,3,EXP-NBD103,6/10/2015,2.2,ERR9030317,ERR9030386,,ERS10792293,SAMEA13188756,
R24100,south_africa,1,0,0,0,FAK48818,19,EXP-NBD114,4/4/2014,2.2.6_RD150,ERR9030405,ERR9030468,,ERS10792294,SAMEA13188757,
R31095,south_africa,1,0,0,0,FAK48888,5,EXP-NBD103,14/12/2016,2.2,ERR9030358,ERR9030488,,ERS10792295,SAMEA13188758,
R18043,south_africa,1,0,0,0,FAK49586,10,EXP-NBD103,8/3/2012,2.2.1,ERR9030388,ERR9030394,,ERS10792296,SAMEA13188759,
R18040,south_africa,1,0,0,0,FAK48856,7,EXP-NBD103,2012,2.2.1,ERR9030359,ERR9030467,,ERS10792297,SAMEA13188760,
R27937,south_africa,1,0,0,0,FAK48856,10,EXP-NBD103,4/11/2014,2.2.1,ERR6362282;ERR6362283,ERR9030489,,ERS10792298,SAMEA13188761,
R30396,south_africa,1,0,0,0,FAK48888,8,EXP-NBD103,22/7/2015,4.1.1.3,ERR5987307,ERR9030408,,ERS10792299,SAMEA13188762,
R27657,south_africa,1,0,0,0,FAK48888,4,EXP-NBD103,29/12/2014,2.2,ERR9030275,ERR9030354,,ERS10792300,SAMEA13188763,
